id;name;region;lat;lon;num_procesos;year
91;AMAZONAS;AMAZONAS;-3,269955518;-70,43294193;184;2018
05;ANTIOQUIA;ANDINA;6,722433955;-75,62459997;7803;2018
81;ARAUCA;ORINOQUIA;6,744564555;-71,50174549;3111;2018
88;ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y;CARIBE;13,06263929;-81,4992831;146;2018
08;ATLÁNTICO;CARIBE;10,69114465;-74,98361675;1522;2018
11;BOGOTÁ, D, C,;ANDINA;4,326649411;-74,1841779;54486;2018
13;BOLÍVAR;CARIBE;9,115397922;-74,63711074;889;2018
15;BOYACÁ;ANDINA;5,682111403;-73,3176117;2852;2018
17;CALDAS;ANDINA;5,302823806;-75,4271841;1204;2018
18;CAQUETÁ;AMAZONAS;1,290687058;-75,00692517;1612;2018
85;CASANARE;ORINOQUIA;5,302093245;-72,08616235;488;2018
19;CAUCA;PACIFICO;2,570174085;-76,7441473;1033;2018
20;CESAR;CARIBE;9,312446365;-73,5749158;399;2018
27;CHOCÓ;PACIFICO;5,60472361;-76,84119231;837;2018
23;CÓRDOBA;CARIBE;8,754691317;-75,73387756;278;2018
25;CUNDINAMARCA;ANDINA;4,837777465;-74,15882962;2294;2018
94;GUAINÍA;AMAZONAS;3,029598628;-68,52657373;4;2018
95;GUAVIARE;AMAZONAS;2,12090621;-72,13628535;70;2018
41;HUILA;ANDINA;2,436092352;-75,6522525;2231;2018
44;LA GUAJIRA;CARIBE;11,19818997;-72,72988154;245;2018
47;MAGDALENA;CARIBE;10,14325487;-74,31482819;884;2018
50;META;ORINOQUIA;3,52430246;-73,40457481;1449;2018
52;NARIÑO;PACIFICO;1,518773687;-77,85150901;701;2018
54;NORTE DE SANTANDER;ANDINA;8,027319666;-72,81242941;562;2018
86;PUTUMAYO;AMAZONAS;0,682887532;-76,51931318;286;2018
63;QUINDÍO;ANDINA;4,536916104;-75,70956304;578;2018
66;RISARALDA;ANDINA;4,927640435;-75,75645712;1028;2018
68;SANTANDER;ANDINA;6,699296999;-73,44516941;4549;2018
70;SUCRE;CARIBE;9,16560727;-75,2030009;403;2018
73;TOLIMA;ANDINA;4,244991858;-75,08113601;1867;2018
76;VALLE DEL CAUCA;PACIFICO;3,813677073;-76,4620892;3991;2018
97;VAUPÉS;AMAZONAS;0,819094895;-70,31091261;8;2018
99;VICHADA;ORINOQUIA;4,948929777;-69,3673472;171;2018
91;AMAZONAS;AMAZONAS;-3,269955518;-70,43294193;189;2019
05;ANTIOQUIA;ANDINA;6,722433955;-75,62459997;6626;2019
81;ARAUCA;ORINOQUIA;6,744564555;-71,50174549;2777;2019
88;ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y;CARIBE;13,06263929;-81,4992831;229;2019
08;ATLÁNTICO;CARIBE;10,69114465;-74,98361675;1282;2019
11;BOGOTÁ, D, C,;ANDINA;4,326649411;-74,1841779;46801;2019
13;BOLÍVAR;CARIBE;9,115397922;-74,63711074;812;2019
15;BOYACÁ;ANDINA;5,682111403;-73,3176117;3240;2019
17;CALDAS;ANDINA;5,302823806;-75,4271841;295;2019
18;CAQUETÁ;AMAZONAS;1,290687058;-75,00692517;1978;2019
85;CASANARE;ORINOQUIA;5,302093245;-72,08616235;668;2019
19;CAUCA;PACIFICO;2,570174085;-76,7441473;1527;2019
20;CESAR;CARIBE;9,312446365;-73,5749158;740;2019
27;CHOCÓ;PACIFICO;5,60472361;-76,84119231;440;2019
23;CÓRDOBA;CARIBE;8,754691317;-75,73387756;497;2019
25;CUNDINAMARCA;ANDINA;4,837777465;-74,15882962;2555;2019
94;GUAINÍA;AMAZONAS;3,029598628;-68,52657373;29;2019
